película,director,actores
Inception,Christopher Nolan,"Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page"
Into the Wild,Sean Penn,"Emile Hirsch,Marcia Gay Harden,William Hurt"
Rounders,John Dahl,"Matt Damon,Edward Norton,Paul Cicero"
V for Vendetta,James McTeigue,"Natalie Portman,Hugo Weaving,Stephen Rea"
Memento,Christopher Nolan,"Guy Pearce,Carrie-Anne Moss,Joe Pantoliano"
Gladiator,Ridley Scott,"Russell Crowe,Joaquin Phoenix,Connie Nielsen"
Donnie Darko,Richard Kelly,"Jake Gyllenhaal,Holmes Osborne,Maggie Gyllenhaal"
Good Will Hunting,Gus Van Sant,"Matt Damon,Robin Williams,Ben Affleck"
The Hangover,Todd Phillips,"Bradley Cooper,Ed Helms,Zach Galifianakis"
Gran Torino,Clint Eastwood,"Clint Eastwood,Christopher Carley,Bee Vang"
The Butterfly Effect,Eric Bress,"Ashton Kutcher,Melora Walters,Amy Smart"
Sin City,Robert Rodriguez,"Jessica Alba,Devon Aoki,Alexis Bledel"
Snatch,Guy Ritchie,"Benicio Del Toro,Brad Pitt"
Robin Hood,Ridley Scott,"Russell Crowe,Cate Blanchett,Matthew Macfadyen"
Beautiful Mind,Ron Howard,"Russell Crowe,Ed Harris,Jennifer Connelly"
Juno,Jason Reitman,"Ellen Page,Michael Cera,Jennifer Garner"
Cinderella Man,Ron Howard,"Russell Crowe,Renee Zellweger,Paul Giamatti"
Meet Joe Black,Martin Brest,"Brad Pitt,Anthony Hopkins,Claire Forlani"
Planet Terror,Robert Rodriguez,"Rose McGowan,Freddy Rodriguez,Josh Brolin"
Rocky,John G. Avildsen,"Sylvester Stallone,Talia Shire,Burt Young"
Rocky II,Sylvester Stallone,"Sylvester Stallone,Talia Shire,Burt Young"
Rocky III,Sylvester Stallone,"Sylvester Stallone,Talia Shire,Burt Young"
Warrior,Gavin O'Connor,"Tom Hardy,Nick Nolte,Joel Edgerton"
500 Days of Summer,Marc Webb,"Joseph Gordon-Levitt,Zooey Deschanel,Geoffrey Arend"
Sherlock Holmes,Guy Ritchie,"Robert Downey Jr.,Jude Law,Rachel McAdams"
Pulp Fiction,Quentin Tarantino,"John Travolta,Samuel L. Jackson,Tim Roth"
Inglourious Basterds,Quentin Tarantino,"Brad Pitt,Melanie Laurent,Christoph Waltz"
