2010,Inception,Christopher Nolan
2007,Into the Wild,Sean Penn
1998,Rounders,John Dahl
2006,V for Vendetta,James McTeigue
2000,Memento,Christopher Nolan
2000,Gladiator,Ridley Scott
2001,Donnie Darko,Richard Kelly
1997,Good Will Hunting,Gus Van Sant
2009,The Hangover,Todd Phillips
2008,Gran Torino,Clint Eastwood
2004,The Butterfly Effect,Eric Bress
2005,Sin City,Robert Rodriguez
2000,Snatch,Guy Ritchie
2010,Robin Hood,Ridley Scott
2001,Beautiful Mind,Ron Howard
2007,Juno,Jason Reitman
2005,Cinderella Man,Ron Howard
1998,Meet Joe Black,Martin Brest
2007,Planet Terror,Robert Rodriguez
1976,Rocky,John G. Avildsen
1979,Rocky II,Sylvester Stallone
1982,Rocky III,Sylvester Stallone
2011,Warrior,Gavin O'Connor
2009,500 Days of Summer,Marc Webb
2009,Sherlock Holmes,Guy Ritchie
1994,Pulp Fiction,Quentin Tarantino
2009,Inglourious Basterds,Quentin Tarantino
