latitude;longitude;name;label
-34.58445976646252;-58.375773928540035;WALSH, RODOLFO y PERETTE, CARLOS H.;Estación Saludable Barrio 31
-34.598602794238374;-58.39747190262411;PARAGUAY 2102;Estación Saludable Campus Plaza Houssay
-34.60390040522636;-58.38086720292546;CORRIENTES AV. y PELLEGRINI, CARLOS;Estación Saludable Carlos Pellegrini
-34.62619892407293;-58.38076357172699;LIMA y GARAY, JUAN DE AV.;Estación Saludable Constitución
-34.60456293984988;-58.40547222748421;CORRIENTES AV. y PUEYRREDON AV.;Estación Saludable Corrientes
-34.60696711301962;-58.3751534494086;SAENZ PEÑA, ROQUE, PRES. AV. y FLORIDA;Estación Saludable Diagonal Norte
-34.555358272023334;-58.435259910031384;TORNQUIST, ERNESTO AV. y BELLO, ANDRES;Estación Saludable Lago de Palermo
-34.6456334977431;-58.47572839995693;LACARRA AV. y BILBAO, FRANCISCO AV.;Estación Saludable Parque Avellaneda
-34.60624208404755;-58.43798272593101;MACHADO, ANTONIO y PATRICIAS ARGENTINAS AV.;Estación Saludable Parque Centenario
-34.634688999309866;-58.44057069427475;ASAMBLEA AV. y MITRE, EMILIO;Estación Saludable Parque Chacabuco
-34.66497215154626;-58.466641656587804;ESCALADA AV. y CASTAÑARES AV.;Estación Saludable Parque Indoamericano
-34.59177145772071;-58.44818726647556;CORRIENTES AV. y DORREGO AV.;Estación Saludable Parque Los Andes
-34.638055580656676;-58.40636407229855;PATAGONES y MONTEAGUDO;Estación Saludable Parque Patricios
-34.617768533040326;-58.43442228010726;RIVADAVIA AV. y DOBLAS;Estación Saludable Parque Rivadavia
-34.55087620640208;-58.47951863687146;GARCIA DEL RIO y MELIAN AV.;Estación Saludable Parque Saavedra
-34.60866005150397;-58.3742257555271;DE MAYO AV. y PERU;Estación Saludable Perú
-34.628704140036895;-58.46306947871317;FRAY CAYETANO RODRIGUEZ y RIVADAVIA AV.;Estación Saludable Plaza Flores
-34.65549620727825;-58.50673786104415;ALBERDI, JUAN BAUTISTA AV. y PILAR;Estación Saludable Plaza Juan Salaberry
-34.609764923120125;-58.40711465220289;MITRE, BARTOLOME y PUEYRREDON AV.;Estación Saludable Plaza Miserere
-34.65196754841214;-58.4155733551331;TRAFUL y SAENZ AV.;Estación Saludable Plaza Nueva Pompeya
-34.58352385467533;-58.3936538923401;DEL LIBERTADOR AV. y AGOTE, LUIS Dr.;Estación Saludable Plaza Rubén Darío
-34.57786777613747;-58.42613322801319;SANTA FE AV. y BULLRICH, INT. AV.;Estación Saludable Puente Pacífico
-34.59269898350988;-58.374201573459786;RAMOS MEJIA, JOSE MARIA, DR. AV. y DEL LIBERTADOR AV.;Estación Saludable Retiro
-34.57151732039001;-58.41293620036659;SARMIENTO AV. y IRAOLA AV.;Estación Saludable Rosedal
-34.603804295964075;-58.38683893581285;CORRIENTES AV. y URUGUAY;Estación Saludable Tribunales
